K,Accuracy,Precision,Recall
1,0.7118523775727467,0.45698924731182794,0.45454545454545453
3,0.7622427253371186,0.5656565656565656,0.44919786096256686
5,0.765791341376863,0.579136690647482,0.4304812834224599
7,0.7814052519517388,0.6259541984732825,0.4385026737967914
9,0.7885024840312278,0.6532258064516129,0.43315508021390375
11,0.78708303761533,0.6622807017543859,0.4037433155080214
15,0.7885024840312278,0.668141592920354,0.4037433155080214
